attr,type,min,max
pymfe.attr_conc.mean,numerical,null,null
pymfe.attr_conc.sd,numerical,0,null
pymfe.attr_ent.mean,numerical,null,null
pymfe.attr_ent.sd,numerical,0,null
pymfe.attr_to_inst,numerical,null,null
pymfe.cat_to_num,numerical,null,null
pymfe.cohesiveness.mean,numerical,null,null
pymfe.cohesiveness.sd,numerical,0,null
pymfe.cor.mean,numerical,null,null
pymfe.cor.sd,numerical,0,null
pymfe.cov.mean,numerical,null,null
pymfe.cov.sd,numerical,0,null
pymfe.eigenvalues.mean,numerical,null,null
pymfe.eigenvalues.sd,numerical,0,null
pymfe.g_mean.mean,numerical,null,null
pymfe.g_mean.sd,numerical,0,null
pymfe.h_mean.mean,numerical,null,null
pymfe.h_mean.sd,numerical,0,null
pymfe.inst_to_attr,numerical,null,null
pymfe.iq_range.mean,numerical,null,null
pymfe.iq_range.sd,numerical,0,null
pymfe.kurtosis.mean,numerical,null,null
pymfe.kurtosis.sd,numerical,0,null
pymfe.mad.mean,numerical,null,null
pymfe.mad.sd,numerical,0,null
pymfe.max.mean,numerical,null,null
pymfe.max.sd,numerical,0,null
pymfe.mean.mean,numerical,null,null
pymfe.mean.sd,numerical,0,null
pymfe.median.mean,numerical,null,null
pymfe.median.sd,numerical,0,null
pymfe.min.mean,numerical,null,null
pymfe.min.sd,numerical,0,null
pymfe.nr_attr,numerical,0,null
pymfe.nr_bin,numerical,0,null
pymfe.nr_cat,numerical,0,null
pymfe.nr_cor_attr,numerical,0,null
pymfe.nr_inst,numerical,0,null
pymfe.nr_norm,numerical,0,null
pymfe.nr_num,numerical,0,null
pymfe.nr_outliers,numerical,0,null
pymfe.num_to_cat,numerical,0,null
pymfe.one_itemset.mean,numerical,null,null
pymfe.one_itemset.sd,numerical,0,null
pymfe.range.mean,numerical,null,null
pymfe.range.sd,numerical,0,null
pymfe.sd.mean,numerical,null,null
pymfe.sd.sd,numerical,0,null
pymfe.skewness.mean,numerical,null,null
pymfe.skewness.sd,numerical,0,null
pymfe.sparsity.mean,numerical,null,null
pymfe.sparsity.sd,numerical,0,null
pymfe.t2,numerical,null,null
pymfe.t3,numerical,null,null
pymfe.t4,numerical,null,null
pymfe.t_mean.mean,numerical,null,null
pymfe.t_mean.sd,numerical,0,null
pymfe.two_itemset.mean,numerical,null,null
pymfe.two_itemset.sd,numerical,0,null
pymfe.var.mean,numerical,null,null
pymfe.var.sd,numerical,0,null
pymfe.wg_dist.mean,numerical,null,null
pymfe.wg_dist.sd,numerical,0,null
